mobile,0,2018-11-30,2019-01-30,0,2000-10-15,Ударцев Анатолий Александрович,1234 567890,male,200;10;1024
mobile,1,2019-11-30,2020-01-01,1,2001-03-25,Борденко Павел Алексеевич,1234 567891,male,400;0;2048
wired_internet,2,2017-01-01,2022-01-01,0,2000-10-15,Ударцев Анатолий Александрович,1234 567890,male,4096
digital_tv,3,2015-01-01,2018-01-01,0,2000-10-15,Ударцев Анатолий Александрович,1234 567890,male,standard
wired_internet,4,2014-01-01,2020-01-01,1,2001-03-25,Борденко Павел Алексеевич,1234 567891,male,4096
digital_tv,5,2019-01-01,2022-01-01,1,2001-03-25,Борденко Павел Алексеевич,1234 567891,male,EXTRA
mobile,6,2019-01-01,2020-01-01,0,2000-10-15,Ударцев Анатолий Александрович,1234 567890,male,1000;1000;0
mobile,7,2013-01-01,2017-01-01,2,1995-08-09,Полина Анастия Сергеевна,1234 566666,female,100;0;4096
wired_internet,8,2018-01-01,2023-01-01,2,1995-08-09,Полина Анастия Сергеевна,1234 566666,female,2048
digital_tv,9,2012-01-01,2019-01-01,2,1995-08-09,Полина Анастия Сергеевна,1234 566666,female,standard
